clip_id	male	female	mp3_path
0	0	0	100May I Love You.mp3-1.npy
1	0	0	100May I Love You.mp3-2.npy
2	0	0	100May I Love You.mp3-3.npy
3	0	0	100May I Love You.mp3-4.npy
4	0	0	100May I Love You.mp3-5.npy
5	0	0	100May I Love You.mp3-6.npy
6	0	0	100May I Love You.mp3-7.npy
7	0	0	100May I Love You.mp3-8.npy
8	0	0	100May I Love You.mp3-9.npy
9	0	0	101Through The Arbor-Kevin.mp3-1.npy
10	0	0	101Through The Arbor-Kevin.mp3-2.npy
11	0	0	101Through The Arbor-Kevin.mp3-3.npy
12	0	0	101Through The Arbor-Kevin.mp3-4.npy
13	0	0	101Through The Arbor-Kevin.mp3-5.npy
14	0	0	101Through The Arbor-Kevin.mp3-6.npy
15	0	0	101Through The Arbor-Kevin.mp3-7.npy
16	0	0	10聽海.mp3-1.npy
17	0	0	10聽海.mp3-10.npy
18	0	0	10聽海.mp3-2.npy
19	0	0	10聽海.mp3-3.npy
20	0	0	10聽海.mp3-4.npy
21	0	0	10聽海.mp3-5.npy
22	0	0	10聽海.mp3-6.npy
23	0	0	10聽海.mp3-7.npy
24	0	0	10聽海.mp3-8.npy
25	0	0	10聽海.mp3-9.npy
